contest_id,contest_name,contest_url,is_exam,is_contest_status,regist_start_time,regist_end_time,contest_start_time,contest_end_time,thumb_pic,level_name,organiser,organiser_name,enter_range,contest_class_first,contest_class_second,contest_class_second_id,time_status,time_name,ranking,is_new,module
52985,2025年第十五届MathorCup数学应用挑战赛,vse/mathorcup/2025,0,1,1737648000,1744905540,1744934400,1745283600,https://publicqn.saikr.com/2025/01/24/contest67935dc6e30281.507456361737711549197.png,全国性,中国优选法统筹法与经济数学研究会,主办方,全国,1002,match,16,12,正在报名,1,0,0
53322,2025计算机能力竞赛暨城市联赛——WEB 前端微信小程序开发团队赛道,vse/CLWEB/2025,0,1,1739255220,1744991940,1744992000,1745855940,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739247824448images.png,全国性,大连市计算机学会 等,主办方,全国,1001,computer,6,12,正在报名,0,0,0
53314,2025计算机能力竞赛暨城市联赛——计算机素养赛道,vse/CLComputerL/2025,0,1,1739255160,1744991999,1745028000,1745143200,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739181354123images.png,全国性,大连市计算机学会 等,主办方,全国,1001,computer,6,12,正在报名,0,0,0
52383,2025年全国高校商务英语阅读大赛,vse/SYR2025,0,1,1735228800,1745067600,1745024400,1745067600,https://publicqn.saikr.com/contest/thmub/cropper/upload/1735295929113images.png,全国性,中国对外贸易经济合作企业协会国际商务与语言服务工作委员会,主办方,全国,1005,english,19,12,正在报名,8,0,0
51670,2025年“滇文化”全国文旅外宣大赛,vse/DWH2025,0,1,1732636800,1745157540,1745078400,1745164740,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741570747906images.png,全国性,云南省翻译工作者协会 等,主办方,全国,1005,art_assessment,36,12,正在报名,42,0,0
51723,【最后6天】第二届全国大学生外交英语阅读大赛,vse/DERC,0,1,1733932800,1745163000,1745110800,1745175600,https://publicqn.saikr.com/2025/04/02/contest67ec933d86c5c0.462498271743557469226.png,全国性,中国西部研究与发展促进会教育工作委员会,主办方,全国,1005,english,19,12,正在报名,15,0,0
53607,第五届全国高校商务翻译（英语）能力挑战赛,vse/BTE2025,0,1,1741881600,1745672400,1745629200,1745672400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741945496630images.png,全国性,中国对外贸易经济合作企业协会国际商务与语言服务工作委员会,主办方,全国,1005,english,19,12,正在报名,0,0,0
51705,【证书主办单位可查】第二届“中促杯”全国大学生英语词汇能力挑战赛,vse/CIAPST/25,0,1,1733278200,1745676000,1745629200,1745679600,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743390099324images.png,全国性,中国国际科技促进会综合素质与职业发展教育专业委员会,主办方,全国,1005,english,19,12,正在报名,9,0,0
51700,2025“冰雪杯”全国大学生外语写作大赛,vse/BXBXZ2025,0,1,1732896000,1745683199,1732896000,1745683199,https://publicqn.saikr.com/contest/thmub/cropper/upload/1733911805755images.png,全国性,哈尔滨市翻译协会,主办方,全国,1005,english,19,22,比赛进行中,39,0,0
53219,2025第四届UNIPP全国大学生英语词汇大赛,vse/LHGCGB24,0,1,1737043200,1745769599,1745715600,1745758800,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741600415151images.png,全球性,中国联合国采购促进会,指导单位,全国,1005,english,19,12,正在报名,4,0,0
51390,【多赛道】大学生跨境电商实践大赛,vse/CBEC1nd,0,1,1728712800,1747404000,1747443600,1747494000,https://publicqn.saikr.com/2025/03/14/contest67d3a72803e075.601878491741924153235.png,全国性,中国西部研究与发展促进会教育工作委员会 等,主办方,全国,1003,business,26,12,正在报名,29,0,0
52312,2025年第四届全国青年创新翻译大赛,vse/Translation/2025,0,1,1734451200,1747497599,1735574400,1747497599,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743415126238images.png,全国性,中国对外翻译有限公司,主办方,全国,1005,english,19,22,比赛进行中,7,0,0
53410,2025年第四届“空英杯”全国大学生英语语法竞赛,vse/KYB/grammar25,0,1,1739980800,1747497599,1747497600,1747583999,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740041225372images.png,全国性,《空中英语教室》杂志社,主办方,全国,1005,english,19,12,正在报名,43,0,0
53247,【数竞国赛/考研数学】2025“物联杯”全国大学生高新技术竞赛数学竞赛,vse/WLMATH25,0,1,1737388800,1747497600,1747531800,1747540800,https://publicqn.saikr.com/contest/thmub/cropper/upload/1737541473780images.png,全国性,中国国际科技促进会物联网工作委员会,主办方,全国,1002,mechanics,35,12,正在报名,23,0,0
53668,2025计算机能力竞赛暨城市联赛----算法编程赛道【第二场】,vse/53668,0,1,1742745600,1748015999,1748016000,1748102400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742892506296images.png,全国性,大连市计算机学会 等,主办方,全国,1001,computer,6,12,正在报名,0,0,0
53462,2025年第五届《英语世界》杯全国大学生英语词汇大赛,vse/vocabulary/2025,0,1,1741104000,1748102399,1748138400,1748181600,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740554601905images.png,全国性,商务印书馆《英语世界》杂志社,主办方,全国,1005,english,19,12,正在报名,3,0,0
53011,第二届大学生办公软件技能大赛-Word、Excel、PowerPoint竞赛,vse/ZJWSOS25,0,1,1736305200,1744981200,1736816400,1744988400,https://publicqn.saikr.com/2025/03/18/contest67d92b5d15e605.303703891742285673969.png,全国性,中国智慧工程研究会职业教育专业委员会,主办方,全国,1004,occupation,28,22,比赛进行中,14,0,0
52325,第二届大学生高校物理挑战赛,vse/ZJWSPH2025,0,1,1734919200,1745067600,1741741200,1745074800,https://publicqn.saikr.com/2025/03/31/contest67ea368a45c669.011304551743402646674.png,全国性,中国智慧工程研究会职业教育专业委员会,主办方,全国,1002,physics,17,22,比赛进行中,18,0,0
51494,《我爱北京》 2025全球征稿活动,vse/51494,0,3,1729699200,1748707199,1748707200,1756655999,https://publicqn.saikr.com/contest/thmub/cropper/upload/1729562345585images.png,全球性,首都精神文明建设委员会办公室 等,主办方,全国,1004,society,29,12,正在报名,44,0,0
53633,2025“外研社·国才杯”“理解当代中国”  外语能力公开赛,vse/WYNLGKS2025,0,0,1742227200,1758186000,1747220400,1747225800,https://publicqn.saikr.com/contest/thmub/cropper/upload/1743498654851images.png,全国性,外语教学与研究出版社,主办方,全国,1005,english,19,12,正在报名,5,0,0
53797,【国家一级协会主办】2025第四届大学生算法挑战赛（第二场）,vse/53797,0,0,1744646400,1751558400,0,0,https://publicqn.saikr.com/contest/thmub/cropper/upload/1744075115728images.png,全国性,中国机电一体化技术应用协会,主办方,全国,1001,computer,6,11,即将报名,0,0,0
53470,春耕图韵，共绘希望田野 —— 《中国农民合作社》春耕图片征集,vse/53470,0,0,1740585600,1745942400,0,0,,全国性,《中国农民合作社》编辑部,主办方,全国,1005,art_assessment,36,12,正在报名,0,0,0
53260,【截止今晚22点】第二届“中国故事大赛·双语中国”全国大学生外语翻译大赛,vse/2025/SYZG/T,0,1,1739754000,1744642800,1739754000,1744646340,https://publicqn.saikr.com/2025/02/13/contest67adb2b56965f4.003523941739436771350.png,全国性,中国寓言文学研究会教育教学专业委员会,主办单位,全国,1005,english,19,22,比赛进行中,24,0,0
53297,【倒计时1天】第七届全国大学生新媒体创新创意大赛,vse/MADIA2025,0,1,1739721600,1744686000,1739797200,1744689600,https://publicqn.saikr.com/2025/02/13/contest67ad978e2b0f95.814776521739429810018.png,全国性,中华出版促进会国际人才文化传播工作委员会 等,主办方,全国,1004,society,29,22,比赛进行中,40,0,0
53527,"2025""碳索新未来""大学生双碳科普知识大赛-双碳知识演讲赛道",vse/stzskpds/2025/s,0,0,1741276800,1744732800,1741104000,1753459200,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741940317747images.png,全国性,全国双碳行业产教融合共同体,支持单位,全国,1004,society,29,12,正在报名,49,0,0
53215,2025全国大学生高新技术竞赛——算法智星挑战赛,vse/2025WLB/ALGO,0,1,1736956800,1744991999,1745125200,1745143200,https://publicqn.saikr.com/contest/thmub/cropper/upload/1737443273996images.png,全国性,中国国际科技促进会物联网工作委员会,主办方,全国,1002,match,16,12,正在报名,0,0,0
53559,【证书+推荐信】第三届“中外传播杯”全国大学生英语词汇大赛,vse/word/2025,0,1,1741770000,1745056800,1745026200,1745076600,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741657994374images.png,全国性,中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,主办方,全国,1005,english,19,12,正在报名,35,0,0
53209,【高含金赛】第三届“BETT杯”全国大学生英语语法大赛,vse/bett-grammar-third,0,1,1740533640,1745056800,1745024400,1745076600,,全国性,中国城市商业网点建设管理联合会国际商务交流与外语研究分会,主办方,全国,1005,english,19,12,正在报名,11,0,0
52984,【众多院校认可加分】2025全国大学生“丝绸之路”主题知识竞赛,vse/SCZLWD/2025,0,1,1737102000,1745071200,1745024400,1745074800,https://publicqn.saikr.com/contest/thmub/cropper/upload/1740983342265images.png,全国性,中国国际商会商业行业商会丝绸之路国际合作工作委员会,主办方,全国,1005,english,19,12,正在报名,30,0,0
53435,2024年全国大学生空间设计大赛（决赛阶段）,vse/JS/kjsj,0,1,1742198400,1745074800,1742198400,1745074500,https://publicqn.saikr.com/contest/thmub/cropper/upload/1742194554215images.png,全国性,中国城市商业网点建设管理联合会,主办方,全国,1005,art_assessment,36,22,比赛进行中,0,0,0
53532,【报名截止倒计时6天】腾讯2025年LIGHT创造营,vse/light2025,0,1,1740931200,1745078400,1740931200,1745078400,https://publicqn.saikr.com/contest/thmub/cropper/upload/1741255159368images.png,全国性,腾讯基金会 等,主办方,全国,1004,tiaozhanbei,7,22,比赛进行中,41,0,0
53722,中国矿业大学大学生结构设计竞赛校内选拔赛,vse/53722,0,1,1743782400,1745078400,1743696000,1745596800,,校级,力学与土木工程学院大学生科技创新协会,主办方,中国矿业大学(徐州),1001,building,10,22,比赛进行中,0,0,0
53569,【倒计时6天】第三届“三晋杯”全国大学生英语词汇大赛,vse/SJCNCSEVC,0,1,1742259600,1745154000,1745110800,1745157600,https://publicqn.saikr.com/2025/03/18/contest67d90d3a95b295.951879691742277983934.png,全国性,山西省翻译协会 等,主办方,全国,1005,english,19,12,正在报名,0,0,0
53375,【倒计时7天】第二届“国兴奖”全国大学生英语词汇大赛,vse/GXJNCSEVC,0,1,1740024000,1745154000,1745024400,1745157600,https://publicqn.saikr.com/contest/thmub/cropper/upload/1739958125943images.png,全国性,中国国际科技促进会乡村振兴工作委员会,主办方,全国,1005,english,19,12,正在报名,21,0,0
52331,2025年第二十届全国研究生环境论坛,vse/tjeforum/2025,0,1,1735660800,1745161200,1747972800,1748232000,,全国性,同济大学,主办方,全国,1001,energy,15,12,正在报名,0,0,0
